district_number,district_name,postal_codes,id,lon,lat
11,Altstadt,40213,15879,6.7741,51.22957
55,Angermund,40489,15879,6.78333,51.33333
95,Benrath,40589|40593|40595|40597|40599,15879,6.86667,51.16667
36,Bilk,40221|40223|40225,15879,6.78045,51.20097
12,Carlstadt,40213,15879,6.77287817,51.22152099
15,Derendorf,40468|40476|40477|40479,15879,6.78032398,51.25348168
23,Düsseltal,40237|40239|40470,15879,6.81582,51.23736
82,Eller,40227|40229|40231|40591,15879,6.84010506,51.19779473
38,Flehe,40221|40223|40225|40589,15879,6.77598953,51.19472891
22,Flingern-Nord,40233|40235|40237,15879,6.82341099,51.22986596
21,Flingern-Süd,40233|40235,15879,6.80908799,51.22074151
31,Friedrichstadt,40210|40212|40213|40215|40217,15879,6.78062,51.21296
101,Garath,40593|40595,15879,6.89619541,51.14395199
71,Gerresheim,40625|40627|40629,15879,6.85942,51.23806
16,Golzheim,40468|40474|40476|40477,15879,6.77204,51.24344
72,Grafenberg,40235|40470|40629,15879,6.8275094,51.24156787
33,Hafen,40219|40221,15879,6.73586369,51.21787882
34,Hamm,40221,15879,6.73599,51.20495
98,Hassels,40597|40599,15879,6.87010288,51.18413146
42,Heerdt,40549,15879,6.72329,51.23075
102,Hellerhof,40595,15879,6.90405,51.13035
92,Himmelgeist,40589,15879,6.80714607,51.16819035
93,Holthausen,40589|40591|40599,15879,6.83285236,51.17517283
74,Hubbelrath,40472|40629,15879,6.90801859,51.25784618
97,Itter,40589,15879,6.81611538,51.16898417
53,Kaiserswerth,40489,15879,6.73624,51.30147
56,Kalkum,40489,15879,6.75865173,51.30319892
61,Lichtenbroich,40468|40472,15879,6.8,51.28333
81,Lierenfeld,40229|40231|40233,15879,6.8256855,51.21177655
52,Lohausen,40474|40489,15879,6.74476862,51.27363546
73,Ludenberg,40625|40629,15879,6.8651247,51.2548918
43,Lörick,40547|40549,15879,6.72901869,51.24440221
64,Mörsenbroich,40237|40239|40470,15879,6.80384159,51.25568413
44,Niederkassel,40547,15879,6.7535,51.24172
37,Oberbilk,40225|40227|40229|40233|40591,15879,6.80843,51.20678
41,Oberkassel,40545|40547|40549,15879,6.74698,51.23011
14,Pempelfort,40211|40213|40474|40476|40477|40479,15879,6.78526,51.23828
63,Rath,40470|40472|40629,15879,6.81564,51.26664
94,Reisholz,40599,15879,6.8592453,51.17902014
13,Stadtmitte,40210|40211|40212|40213|40233,15879,6.78362846,51.22532412
51,Stockum,40468|40474,15879,6.75260067,51.26465396
84,Unterbach,40627|40721,15879,6.9,51.2
32,Unterbilk,40213|40217|40219|40221|40223,15879,6.77038908,51.21395411
62,Unterrath,40468|40472,15879,6.78333,51.26667
96,Urdenbach,40593|40595|40597,15879,6.86727047,51.14893259
83,Vennhausen,40627,15879,6.85,51.21667
35,Volmerswerth,40221,15879,6.76236391,51.18703659
91,Wersten,40225|40589|40591,15879,6.81667,51.18333
54,Wittlaer,40489,15879,6.7329669,51.326321